lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-2.1954148,3.6717863,8.583653,-0.14859296,-0.32513303,0.039553523
-2.251646,3.5084763,8.755937,-0.12873985,-0.4456262,0.047647487
-2.0889342,3.5934215,9.263215,-0.12858713,-0.5713117,0.071776666
-1.9076779,3.6490545,9.775279,-0.10980303,-0.6017023,0.032528576
-1.9202402,3.4193435,10.01516,-0.07086037,-0.5401576,0.025198191
-2.0482562,3.3086755,10.043873,-0.030390546,-0.40775254,0.09896017
-1.8257236,3.4672,9.933804,0.009468411,-0.31810808,0.17394388
-1.6067804,3.3780673,9.752547,0.02443461,-0.33261612,0.15057829
-1.2436695,3.1070802,9.710074,-0.008246681,-0.3904956,0.09162979
-1.0175478,2.6004,10.003195,-0.11362094,-0.474795,0.008399397
-0.7956135,2.0410776,10.368699,-0.23472497,-0.46670106,-0.0096211275
-0.7609176,1.7964116,10.694122,-0.3471242,-0.2350304,0.061239243
-0.48993045,1.7036897,10.187443,-0.35246924,0.022449298,0.16630806
-0.36670008,1.6336997,9.776475,-0.30650163,-0.0025961774,0.15989397
-0.1471586,1.5726827,9.675977,-0.18448131,-0.19990565,0.11728613
0.053240303,1.4297116,9.829716,-0.07376198,-0.28023443,0.032070424
0.0741775,1.1001002,9.926026,-0.0010690142,-0.27198774,0.016035212
0.27936205,0.98524475,10.017552,0.04153884,-0.21655174,0.03680463
0.48873404,0.84825563,9.802796,0.055283304,-0.112704635,3.05E-04
0.55513483,0.88354975,9.467801,0.015118915,-0.05955936,-0.059406646
0.40677986,1.0360922,9.29492,-0.057421334,-0.08979719,-0.11575896
0.111266255,1.0827522,9.346964,-0.11407909,-0.10522154,-0.12415836
0.0065802624,1.1204392,9.466604,-0.1414153,-0.08109236,-0.059101213
0.11545369,1.3591232,9.556933,-0.14309518,-0.040775254,-0.0062613687
0.023928227,1.5451652,9.580862,-0.10949759,-0.062308256,-0.013744468
