accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
1.4,-0.84,1.22,-1.005,0.128,0.164
0.55,0.57,0.15,-1.018,0.128,0.092
0.45,0.92,-0.2,-0.95,0.102,0.026
0.28,0.95,0.76,-1.014,0.17,0.078
-0.07,1.09,0.66,-1.014,0.146,0.1
0.65,0.4,0.2,-1.037,0.098,0.112
0.9,1.21,0.15,-1.047,0.119,0.022
0.9,1.21,0.15,-0.976,0.13,0.012
0.43,1.12,0.65,-0.902,0.103,0.014
-0.29,1.2,0.37,-0.885,0.098,-0.015
-0.85,1.48,0.36,-0.886,0.055,0.005
-0.75,1.62,0.49,-0.836,0.006,0.15
-1.45,2.43,-1.9,-0.818,0.025,0.198
-1.45,2.43,-1.9,-0.84,0.123,0.107
-1.1,0.83,-0.89,-0.864,0.202,0.067
-1.1,0.83,-0.89,-0.877,0.214,0.072
-0.95,0.46,-0.95,-0.939,0.215,0.051
-0.63,0.46,-0.95,-1.02,0.192,0.034
0.17,0.57,-0.82,-1.068,0.169,0.016
0.86,0.84,-0.68,-1.07,0.16,0.006
1.07,1.0,-0.61,-1.024,0.154,0.003
0.89,1.01,-0.52,-0.955,0.135,0.011
0.23,1.15,-0.66,-0.919,0.148,-0.034
-0.32,1.23,-0.54,-0.92,0.164,-0.099
-0.48,0.95,0.07,-0.943,0.178,-0.122
-0.33,0.91,0.54,-0.964,0.168,-0.101
0.08,0.98,0.23,-0.981,0.149,-0.082
0.08,0.98,0.23,-1.004,0.132,-0.09
0.26,1.2,0.19,-1.006,0.157,-0.094
0.46,1.16,0.32,-0.976,0.152,-0.07
0.27,0.99,0.2,-0.966,0.168,-0.061
0.05,1.06,0.0,-0.949,0.194,-0.047
-0.04,0.81,-0.05,-0.959,0.244,-0.072
-0.13,0.48,-0.13,-0.949,0.278,-0.074
0.0,0.03,0.32,-0.929,0.258,-0.023
-0.22,0.04,-0.11,-0.885,0.276,-0.006
-0.51,0.24,-0.49,-0.887,0.313,-0.048
-0.72,-0.15,-0.27,-0.894,0.262,-0.026
-0.77,-0.13,-0.05,-0.945,0.118,-0.025
-0.15,1.19,-0.36,-0.954,0.163,-0.07
-0.2,1.73,0.08,-1.051,0.225,-0.11
0.59,1.06,0.48,-1.036,0.263,-0.137
0.96,0.61,0.89,-1.013,0.275,-0.162
0.75,0.34,1.12,-0.974,0.241,-0.175
0.41,0.5,1.37,-0.961,0.238,-0.173
0.2,0.9,1.36,-0.959,0.324,-0.206
-0.07,0.16,1.57,-0.988,0.094,-0.276
0.62,1.09,2.13,-0.813,0.146,-0.22
-0.47,2.55,2.62,-0.782,0.238,-0.078
-1.4,1.45,1.66,-0.657,0.202,0.006
-1.92,1.52,0.76,-0.67,0.256,0.049
-2.74,1.72,0.63,-0.678,0.318,0.082
-2.42,0.9,0.98,-0.603,0.364,0.076
-2.42,0.9,0.98,-0.586,0.433,0.116
-2.65,0.61,1.52,-0.586,0.615,0.479
-2.52,-0.36,0.33,-0.636,0.832,0.925
-2.18,-2.53,-4.59,-0.704,0.834,0.716
-1.44,-3.56,-6.0,-0.769,0.741,0.323
-0.73,-2.66,-2.03,-0.855,0.726,0.196
0.06,-1.83,0.41,-0.943,0.827,0.116
1.15,-2.15,1.12,-0.981,0.952,-0.038
2.21,-4.21,3.76,-0.998,1.045,-0.102
2.21,-4.21,3.76,-0.98,1.103,-0.036
2.43,-4.83,3.75,-0.873,1.141,0.116
1.75,-5.29,2.57,-0.765,1.079,0.2
0.61,-5.37,1.13,-0.634,0.819,0.194
-0.54,-3.72,0.91,-0.538,0.603,0.305
-1.82,-1.02,0.51,-0.542,0.545,0.461
-2.26,0.32,-1.17,-0.588,0.584,0.481
-1.91,0.35,-2.14,-0.651,0.639,0.459
-1.33,-0.13,-1.96,-0.69,0.658,0.437
-0.76,-0.48,-1.84,-0.733,0.666,0.384
-0.37,-0.51,-1.44,-0.772,0.644,0.342
0.11,-0.44,-0.95,-0.773,0.634,0.337
0.38,-0.14,-0.71,-0.761,0.654,0.343
0.32,-0.19,-0.77,-0.708,0.654,0.338
0.06,-0.28,-0.79,-0.663,0.642,0.323
-0.47,-0.1,-0.72,-0.682,0.652,0.301
-0.54,-0.01,-0.57,-0.746,0.68,0.275
-0.03,-0.1,-0.36,-0.801,0.71,0.248
0.63,-0.36,-0.15,-0.813,0.695,0.213
1.1,-0.44,0.07,-0.762,0.654,0.201
0.9,0.02,0.35,-0.67,0.646,0.242
0.23,0.32,0.11,-0.592,0.64,0.278
-0.63,0.43,-0.36,-0.571,0.61,0.299
-1.04,0.67,-0.67,-0.585,0.577,0.288
-0.97,1.15,-0.8,-0.623,0.587,0.254
-0.63,1.33,-0.55,-0.663,0.624,0.232
-0.13,1.19,-0.34,-0.68,0.665,0.197
0.25,0.84,-0.18,-0.676,0.677,0.153
0.34,0.66,0.16,-0.665,0.689,0.12
0.32,0.66,0.45,-0.686,0.697,0.115
0.37,0.61,0.56,-0.71,0.712,0.121
0.75,0.63,0.44,-0.693,0.764,0.119
0.85,0.29,0.34,-0.628,0.789,0.12
0.45,-0.09,0.25,-0.547,0.785,0.113
-0.3,-0.16,0.18,-0.485,0.758,0.141
-1.08,0.05,0.16,-0.57,0.757,0.224
-0.95,0.23,-0.45,-0.609,0.758,0.253
0.0,0.27,-1.04,-0.611,0.8,0.241
0.03,0.15,-1.03,-0.682,0.866,0.235
0.44,-0.43,-0.95,-0.751,0.915,0.203
1.24,-1.03,-0.81,-0.755,0.816,0.123
1.65,-0.99,-0.25,-0.814,0.633,0.078
1.69,0.7,0.45,-0.741,0.534,0.059
2.11,2.18,0.76,-0.594,0.474,0.168
0.65,2.81,0.32,-0.471,0.4,0.268
-0.61,3.49,-1.01,-0.394,0.346,0.258
-1.7,4.19,-1.44,-0.426,0.353,0.203
-1.82,4.52,-1.11,-0.466,0.457,0.126
-1.34,3.99,-0.41,-0.52,0.622,0.097
-0.9,2.65,0.21,-0.6,0.819,0.136
-0.23,0.86,0.16,-0.694,1.02,0.201
0.66,-1.16,-0.43,-0.759,1.153,0.191
1.45,-2.93,-0.83,-0.777,1.171,0.115
1.83,-3.7,-0.31,-0.785,1.084,0.062
1.88,-3.27,0.36,-0.79,0.989,0.037
2.03,-2.28,0.68,-0.744,0.923,0.044
1.85,-1.44,0.74,-0.689,0.919,0.071
1.28,-1.04,0.47,-0.687,0.979,0.074
0.95,-1.35,0.28,-0.697,1.012,0.101
1.1,-1.95,0.19,-0.685,0.989,0.1
1.01,-2.01,-0.05,-0.673,0.922,0.066
0.87,-1.59,0.19,-0.636,0.771,0.031
0.57,-0.65,0.57,-0.632,0.587,0.046
0.25,1.2,0.71,-0.707,0.508,0.05
0.56,2.51,0.48,-0.756,0.501,0.023
1.44,2.86,0.65,-0.667,0.525,0.013
1.17,2.76,0.85,-0.567,0.549,0.007
0.19,2.56,0.88,-0.483,0.584,0.009
-0.6,2.34,0.9,-0.41,0.605,0.029
-1.17,2.18,0.77,-0.292,0.664,0.051
-1.79,2.04,0.51,-0.14,0.744,0.073
-2.96,1.43,0.31,-0.077,0.787,0.112
-3.83,0.97,0.0,-0.115,0.758,0.131
