accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z
-3.7373488,-6.3302693,-0.07182605,-2.8656116,-1.5596246,-0.6935336
-3.7229836,-4.068946,-0.92057055,0.44039106,-0.91516167,0.30462018
-1.9764135,-10.68652,-7.0581064,1.8948612,-0.92921156,0.5123144
-2.088941,-8.631097,-3.168726,-0.27432126,-1.1735576,-0.7112487
-3.9719806,-5.647922,6.6965823,1.8215574,0.03595553,0.1250258
-3.618836,-8.698134,-1.9177556,0.33715484,0.10803763,0.12013886
-2.2266076,-9.264363,-0.79607207,0.6303702,-0.34766784,0.18916664
-4.4125137,-6.7025676,0.63206923,1.1312796,0.097042054,0.16045597
-1.0630256,-10.237606,-2.1428106,0.6627461,-0.16135395,0.5398033
-5.21936,-11.083957,-3.9025488,-0.049522854,-0.03185051,-0.5939626
-5.741296,-12.164939,2.8694508,-3.3243713,0.49715877,-1.0899851
-5.768829,-9.697714,-1.8327614,-2.4300647,0.10376157,-1.1370218
-3.3877954,-7.878121,-0.4321534,-2.80819,-1.4637187,-0.9079473
-3.5936968,-2.1667526,-0.005985504,0.25957495,-1.7013452,0.2019948
-4.256891,-5.4539914,-7.466318,1.3182044,-1.1576751,0.12685838
-7.6494746,-3.1064768,-10.761936,0.29500514,-0.30368555,0.0022418755
-4.4424415,-10.782288,-1.5143325,2.8679698,4.3743205,-0.053957727
-3.5817258,-9.536105,0.2908955,1.2186334,-0.1356976,0.72000855
-2.327164,-9.186552,1.0809821,0.9443549,-1.2248703,0.19038837
-5.267244,-8.415619,-0.70509243,1.3554672,0.8398542,0.2337598
0.18076223,-12.685678,-1.5263035,0.36525464,1.0768698,0.44817352
-2.6420016,-11.639412,-0.035913024,-2.29262,0.11842234,-1.7949237
-11.704055,-8.416816,-4.829105,-1.6945829,3.7903335,-0.5371521
-1.2126632,-7.667431,1.353921,-3.321317,-0.8833967,-1.0258443
-3.928885,-0.35793316,1.3682863,-0.29264724,-1.743495,-0.8175393
-7.289147,-12.824541,-10.751163,0.90587044,-1.6005524,0.45122784
