lsm6dso_acceleration_sensor.x,lsm6dso_acceleration_sensor.y,lsm6dso_acceleration_sensor.z,lsm6dso_gyroscope_sensor.x,lsm6dso_gyroscope_sensor.y,lsm6dso_gyroscope_sensor.z
-1.151611,2.243367,7.0440407,0.09560041,0.031688634,0.3627776
-1.0295067,2.7246015,8.403947,-0.118202426,-0.39408445,-0.083764896
-0.6727707,1.9800048,11.056723,0.113926366,-0.67630416,-0.3195589
-0.32321724,1.6663644,10.379164,-0.43585235,0.61139977,0.100716405
-0.12689269,2.135628,11.842021,-1.0161743,-0.33788484,0.19478965
0.21068975,0.82360536,14.241011,-0.29901853,-0.59078306,-0.82169014
-0.6679823,0.7445967,7.91553,0.95569867,0.55886537,0.43974662
0.5410896,3.4284968,6.0312934,0.22510384,0.56986094,0.2503784
0.61052144,3.7612908,6.2755017,-0.01863139,0.25648704,-0.05933029
-1.5634137,1.1803415,8.324939,0.06566802,-0.046502117,-0.60605466
-0.9864111,2.1859062,8.542811,0.074830994,-0.070936725,0.06650795
-1.0366893,2.5761611,8.971373,-0.27397305,0.04879286,0.13859005
-1.7501614,2.3127987,11.142914,-0.3839288,0.55703276,0.050014593
-2.2864625,1.7357962,12.059894,-0.29901853,0.55275667,0.2570979
-2.2984335,2.078167,11.604995,-0.6020077,0.34567338,0.41775545
-0.45250413,-0.7086837,14.58817,0.3100141,-0.85101163,0.21189389
-1.7405846,0.6991069,7.340922,0.68508536,1.2833515,1.068327
-1.0606314,1.6017209,6.2228293,-0.28680122,-0.27130052,1.0231229
0.11731588,1.5514427,8.145373,-0.0143553335,-0.56940275,0.38293615
-0.46208093,1.1994951,7.319374,0.48716503,-0.15706873,0.15447254
-0.4261679,1.9369092,6.431125,0.06811147,-0.1961641,0.24610233
-0.8499416,1.7022774,7.970597,-0.41386122,-0.13446671,0.19417879
-0.05746084,2.1811178,12.102989,-0.48899764,-0.8235227,-0.10758864
-0.19153613,0.8595184,12.457331,-0.23243423,0.09582949,-0.51931185
0.055066638,1.0965444,12.66802,-0.093767814,-0.6897432,-0.13629931
1.1851299,1.3790601,13.553875,-0.12858713,-0.58772874,-0.92798066
-0.05267244,-0.35913026,10.118196,0.33444872,0.25465444,-0.5761223
0.4141969,1.6663644,6.9458785,0.5555819,0.36155587,0.35056028
-0.016759412,2.956839,6.4335194,-0.00580322,-0.07154759,-0.41668645
-0.2825158,1.7980455,8.181287,-0.014966198,-0.5077054,-0.704404
-0.9840169,1.6783354,8.605061,0.42852196,0.40920335,-0.13691017
-0.93613285,2.2002714,8.459014,0.16279559,0.628504,0.38782308
