accelerometer x,y,z,gyro x,y,z
2.354089576,-1.965791539,-2.505763508,0.1178128868,-0.8154068589,0.4824524224
2.403940525,-2.174140713,-2.397269231,0.101174973,-0.7745167613,0.5103426576
2.315815813,-2.433622693,-2.310495203,0.05472304672,-0.6745685935,0.5189595819
2.110791838,-2.654337574,-2.056574218,-0.02277579717,-0.536955595,0.516851306
1.912117816,-2.839115465,-1.586651352,-0.134570241,-0.4268341362,0.496008873
1.615728393,-2.830145392,-0.9921569342,-0.2876062989,-0.3990921974,0.4438381493
1.243719812,-2.669844063,-0.5105319398,-0.4977347553,-0.5324140191,0.3872752786
0.9916323258,-2.475513916,-0.3926315366,-0.7681478858,-0.823012948,0.3198672831
0.6372346582,-2.272938795,-0.9767781632,-1.018452287,-1.115227699,0.2180296183
0.1269501173,-2.088593742,-2.627113175,-1.133871555,-1.278362632,0.08208151907
-0.1916387164,-1.726384817,-4.997485631,-1.052044868,-1.313854814,-0.06451670825
0.07095832706,-0.8825012122,-7.553304087,-0.7369818091,-1.204038858,-0.1272624284
0.6018479953,0.3688981213,-9.847704479,-0.2111228108,-0.9349349141,-0.04644347727
1.1037483,1.732895221,-11.34589955,0.4724711776,-0.4190458059,0.1959899515
1.413790986,2.921961506,-11.69236087,1.166187048,0.2223160863,0.5618078709
1.231663171,3.552413957,-10.32623852,1.718249202,0.8003655672,0.9093270302
0.5410011663,3.481903958,-7.765441109,2.078751564,1.242857695,1.141393781
-0.6910046807,3.415056281,-4.791800562,2.255114555,1.455582619,1.191737056
-1.873797584,3.054523764,-1.956836079,2.316582203,1.559331417,1.190956235
-2.023849175,2.09267882,0.458932101,2.264641762,1.455896378,1.198122025
-2.503043728,1.733807806,2.657649183,2.105741024,1.21521318,1.118278861
-2.720959918,1.71140279,3.795169697,1.93403554,1.012064099,0.9563976526
-2.828520129,1.341650025,3.979887966,1.779449701,0.8383951187,0.7913010716
-1.851478639,1.601357046,3.766273857,1.609282851,0.6143190861,0.7085328698
-1.137728384,2.220660034,3.836234698,1.382312298,0.3842304945,0.6655835509
-1.066457996,2.313378942,3.725202427,1.129585981,0.272670418,0.6125549078
-1.263747139,2.126576267,3.217649795,0.8957042694,0.3371838927,0.5568274856
-1.323532769,2.094537746,2.682006795,0.6862772703,0.5084483027,0.5294712782
-1.347838066,2.28659118,2.383886602,0.4971182942,0.7062495351,0.5146531463
-1.474047009,2.577883865,2.31134276,0.3198313117,0.9119080901,0.4857030511
-1.678558067,2.77404415,2.425467152,0.1558602303,1.091310859,0.4457604289
-1.771283697,2.885331565,2.61807822,0.006773042493,1.267270088,0.4178907275
